Time / min,A,P
0,36.62055469,0
10.15,29.4842557,6.284006871
21.16666667,27.0514724,8.716790164
32.4,19.91300236,15.51648372
34.31666667,17.19056809,18.23891798
39.08333333,11.16903877,24.26044731
41.9,8.565919126,26.47211465
49.35,4.659234677,30.3787991
56.53333333,3.331402727,31.70663105
62.33333333,17.26954017,37.0969459
83.45,5.679146356,48.68733972
91.68333333,3.711803002,50.65468307
94.51666667,1.78353179,51.56690318
101.7333333,0.158742379,53.19169259
110.6,6.714919201,85.42607193
113.7166667,2.936871063,89.20412007
118.7,0.783568289,91.35742284
130,0,92.14
