Time / min,4Cl-ArOPh,Product,Mass Balance
0,136.12,0.13,136.25
0.018533329,136.23,0.21,136.45
0.274383329,134.31,2.37,136.69
0.521666662,133.79,2.52,136.31
0.769866662,134.38,2.49,136.87
1.024499995,134.81,1.88,136.69
1.272333329,135.25,1.84,137.09
1.521199995,135.01,2.00,137.02
1.776233329,135.68,1.76,137.43
2.023499995,135.57,1.85,137.42
2.271149995,135.54,1.74,137.28
2.526616662,134.06,2.52,136.58
2.774933329,135.13,2.20,137.32
3.022449995,135.70,1.95,137.65
3.271633329,134.63,2.65,137.28
3.526233329,134.39,2.70,137.09
3.774433329,134.17,2.74,136.90
4.021799995,134.86,2.64,137.49
4.277583329,134.96,2.42,137.38
4.525916662,134.26,2.67,136.93
4.773099995,134.38,2.55,136.93
5.021399995,134.59,2.87,137.46
5.277133329,134.15,3.00,137.16
5.524399995,134.23,3.05,137.28
5.772033329,134.25,2.96,137.21
6.027333329,133.92,3.25,137.16
6.276266662,133.80,3.40,137.20
6.523566662,134.04,3.23,137.26
6.771866662,134.32,3.19,137.51
7.026316662,133.48,3.50,136.97
7.274933329,134.23,3.57,137.80
7.523233329,133.20,3.78,136.98
7.777749995,133.50,3.64,137.14
8.025533329,134.14,3.51,137.66
8.274433329,134.26,3.52,137.79
8.522766662,134.09,3.75,137.84
8.777299995,134.01,3.71,137.72
9.025166662,133.63,3.95,137.58
9.273966662,133.82,3.66,137.49
9.521233329,133.50,3.86,137.36
9.776466662,133.41,4.20,137.61
10.02566666,133.35,4.00,137.35
10.27308333,133.18,4.26,137.44
10.52768333,132.97,4.34,137.31
10.7757,133.17,4.23,137.40
11.02438333,133.19,4.32,137.51
11.2727,132.49,4.54,137.02
11.52843333,133.11,4.40,137.52
11.77528333,132.99,4.71,137.70
12.0239,133.09,4.36,137.45
12.2723,132.99,4.61,137.60
12.52806666,133.18,4.70,137.88
12.77628333,133.37,4.44,137.81
13.02353333,132.84,4.68,137.52
13.27186666,132.67,4.82,137.49
13.52761666,133.07,5.12,138.19
13.77525,132.81,5.03,137.84
14.02356666,132.44,5.07,137.51
14.27805,132.35,4.97,137.32
14.52671666,132.63,5.07,137.70
14.77411666,132.26,5.34,137.60
15.02896666,132.11,5.21,137.33
