T,A,P
0,120.535987,0.204868161
0.613916659,119.3568996,0.176501059
1.114499993,119.3546817,0.348756232
1.614199993,119.4682668,0.322635533
2.114283326,119.6100993,0.567112006
2.614333326,119.6593215,0.361638045
3.114733326,119.5814447,0.350836214
3.614466659,119.7611411,0.471158633
4.114416659,119.8488314,0.354131341
4.614433326,119.6034678,0.631688995
5.114749993,119.4567238,0.485021483
5.614533326,119.5541827,0.642544242
6.114549993,119.5505194,0.574816958
6.614366659,119.4571157,0.692715136
7.114849993,119.3600275,0.761220454
7.614549993,119.3646427,0.633810042
8.114583326,119.3785502,0.638092417
8.614366659,119.3631002,0.850411556
9.114849993,119.3396095,0.741287806
9.614616659,119.2223775,0.78175721
10.11463333,119.3564446,0.6724854
10.61428333,119.3713462,0.716475065
11.11509999,119.1860308,0.704244309
11.62219999,119.0773339,0.897209446
12.12156666,119.1301003,0.772512154
12.62263333,119.2461772,0.754219708
13.12248333,119.1578904,0.893884144
13.62223333,118.9225958,0.854472759
14.12143333,119.1284297,1.036484365
14.62263333,119.0925081,0.815470612
15.12158333,119.0640812,0.992210206
15.62221666,118.9982901,0.831112368
16.12131666,118.8369054,1.124558157
16.62131666,118.9634728,0.859387752
17.12144999,118.9407892,0.921760559
17.62221666,119.0296559,1.127583368
18.12134999,118.8022643,1.14471757
18.62138333,118.870528,1.168465853
19.12146666,118.7704424,1.119124969
19.62226666,118.8450993,1.073130392
20.12151666,118.7758008,1.152242458
20.62266666,118.685194,1.338707232
21.12249999,118.7175686,1.288011116
21.62226666,118.8102363,1.315042589
22.12169999,118.7676798,1.271848055
22.62269999,118.6716389,1.356056898
23.12254999,118.8724792,1.389449437
23.62226666,118.4654398,1.434741641
24.12193333,118.7772779,1.681233505
24.62269999,118.6964835,1.331297807
25.12253333,118.4959408,1.315619333
25.62226666,118.3717858,1.527584313
26.12343333,118.5946402,1.431470058
26.62271666,118.4440444,1.617875882
27.12258333,118.4032004,1.599853226
27.62269999,118.3559226,1.474348027
28.12343333,118.2559441,1.606409372
28.62273333,118.457145,1.69439073
29.12271666,118.3660087,1.709212468
29.62271666,118.3174853,1.658825608
30.12353333,118.3852127,1.728296907
30.62276666,118.4335178,1.567161005
31.12284999,118.1518865,1.884347613
31.62293333,118.1425476,1.819263179
32.12369999,118.1165956,1.717342977
32.62381666,118.0982866,1.773573663
33.12343333,118.2037775,1.990419092
33.62469999,118.09511,1.748259311
34.12371666,118.0703845,1.736625528
34.62384999,118.0267814,1.823233759
35.12366666,117.966308,1.81791212
35.62471666,117.9991941,1.912536033
36.12473333,117.9790062,1.965801865
36.62416666,117.9702523,2.121816029
37.12599999,117.8492363,2.111701626
37.62471666,117.8130598,1.816117067
38.12474999,117.8296113,2.066912276
38.62481666,117.8076642,2.107313892
39.12513333,117.8124444,2.02911491
39.62591666,117.7513174,1.957138911
40.12508333,117.8758821,1.93274915
40.61779999,117.8527808,2.288720399
41.11919999,117.7678967,2.254774858
41.61824999,117.7548764,2.253778967
42.11826666,117.6381423,2.119874344
42.61826666,117.8203097,2.13886971
43.11849999,117.7146707,2.202531168
43.61929999,117.4616487,2.291508439
44.11846666,117.4852521,2.343465696
44.61954999,117.6869413,2.252577965
45.11859999,117.4994268,2.395545733
45.61929999,117.5457125,2.417876588
46.11873333,117.4006148,2.277261955
46.61959999,117.3034306,2.350969008
47.11968333,117.3556564,2.338921348
47.61943333,117.4582045,2.314919972
48.11894999,117.4548836,2.441824959
48.61956666,117.5746558,2.558711276
49.11963333,117.3398353,2.539260072
49.61939999,117.5464024,2.510237486
50.11928333,117.3986524,2.543900498
50.61956666,117.502713,2.22811905
51.11939999,117.2243753,2.587764817
51.61953333,117.1624772,2.442102882
52.12039999,117.3239294,2.565340744
52.61976666,117.3545598,2.701997389
53.11981666,117.395636,2.717746948
53.61991666,117.1402253,2.724183547
54.12064999,117.1860941,2.720320343
54.62079999,117.4277377,2.656760388
55.12016666,117.4137059,2.7479018
55.62023333,117.3816063,2.729266277
56.12073333,117.3768171,2.90867212
56.62081666,117.1539262,2.895919981
57.12036666,117.2064442,2.831888896
57.62046666,117.1780058,2.827159713
58.12074999,117.1227401,2.744809823
58.62083333,117.3216283,2.86078857
59.12069999,117.071975,2.905166583
59.62174999,117.0665061,2.891550861
60.12183333,117.0798122,3.006310667
60.62091666,117.1561535,3.057784794
61.12203333,117.0454317,3.048754892
61.62178333,117.2008368,3.083738555
62.12186666,117.0326036,3.005490102
62.62129999,117.126923,3.04407791
63.12201666,116.9773747,3.015021733
63.62181666,116.8046374,2.891625314
64.12188333,116.9101365,2.952592264
64.62306666,116.9591173,3.033195471
65.12308333,116.7538898,3.162113773
65.62284999,116.8400562,3.260273115
66.12228333,116.7785197,3.233765943
66.62301666,116.7149128,3.238148859
67.12306666,116.5645096,3.203690188
67.62288333,116.6992257,3.249730033
68.12248333,116.4249603,3.295337589
68.62306666,116.381117,3.255860151
69.12308333,116.5465594,3.344062687
69.62286666,116.5476975,3.200934464
70.12283333,116.576387,3.342042002
70.62306666,116.4401151,3.268987481
71.12311666,116.5567033,3.521553766
71.62301666,116.4357395,3.563688642
72.12408333,116.2834868,3.447244435
72.62413333,116.5005276,3.42865064
73.12321666,116.2487504,3.454734107
73.62321666,116.2025546,3.621973158
74.12411666,116.2585978,3.493750895
74.62414999,116.2868189,3.651625947
75.12341666,116.3097702,3.51048824
75.62346666,116.3503484,3.514424488
76.12409999,116.0974288,3.600254847
76.62413333,116.1954063,3.68156481
77.12351666,116.1056414,3.634041613
77.62353333,116.3749552,3.591073135
78.12416666,116.1765869,3.555871821
